path,type,review_level,date_or_scope,parse_check,dimensions,baseline_sha256,reviewed_sha256,active_doc_refs,relative_link_errors,disposition,limitations
docs/archive/2026-05-28-superpowers-plan-ruvector-self-learning-aqe-security.md,md,historical-metadata,2026-05-28,text-readable,,1f276e1db82cf9961b34489cd0c373b5b32e47544934056779bc9b236bcb8132,1f276e1db82cf9961b34489cd0c373b5b32e47544934056779bc9b236bcb8132,,0,retained-frozen,Date/status/source scope and relative links reviewed; historical behavior not revalidated.
docs/archive/2026-05-28-superpowers-plan-self-improvement-eval.md,md,historical-metadata,2026-05-28,text-readable,,63c7b4d810cb52b7134bec2294246fde5235dec97d5306cf2050712173f0a1ad,63c7b4d810cb52b7134bec2294246fde5235dec97d5306cf2050712173f0a1ad,,0,retained-frozen,Date/status/source scope and relative links reviewed; historical behavior not revalidated.
docs/archive/2026-05-28-superpowers-spec-ruvector-self-learning-aqe-security.md,md,historical-metadata,2026-05-28,text-readable,,a8ca18229bc43de61910c520cc77674192d9c1749176a6dc0a0c4a1a70899961,a8ca18229bc43de61910c520cc77674192d9c1749176a6dc0a0c4a1a70899961,,0,retained-frozen,Date/status/source scope and relative links reviewed; historical behavior not revalidated.
docs/archive/2026-05-28-superpowers-spec-self-improvement-eval.md,md,historical-metadata,2026-05-28,text-readable,,48bb607b9b280d98013496878e278163d47469c28315060e5f5da10244690012,48bb607b9b280d98013496878e278163d47469c28315060e5f5da10244690012,,0,retained-frozen,Date/status/source scope and relative links reviewed; historical behavior not revalidated.
docs/archive/2026-05-29-superpowers-plan-daemon-statusline-resource-fix.md,md,historical-metadata,2026-05-29,text-readable,,d200c8f877e80226c6e383a574e943a5d3afa577b95596fad87fe87fa0d75cb5,d200c8f877e80226c6e383a574e943a5d3afa577b95596fad87fe87fa0d75cb5,,0,retained-frozen,Date/status/source scope and relative links reviewed; historical behavior not revalidated.
docs/archive/2026-05-29-superpowers-plan-install-onboarding-ux.md,md,historical-metadata,2026-05-29,text-readable,,7d7fa56f2d28d9bb382b4a3fadde530089fdf710cddae1f86e21ca2eb242a583,7d7fa56f2d28d9bb382b4a3fadde530089fdf710cddae1f86e21ca2eb242a583,,0,retained-frozen,Date/status/source scope and relative links reviewed; historical behavior not revalidated.
docs/archive/2026-05-29-superpowers-spec-daemon-statusline-resource-fix.md,md,historical-metadata,2026-05-29,text-readable,,9476332d2185909c2f72fcfeb83ac8c01dd3254b83e7cd01361b10f08922e89b,9476332d2185909c2f72fcfeb83ac8c01dd3254b83e7cd01361b10f08922e89b,,0,retained-frozen,Date/status/source scope and relative links reviewed; historical behavior not revalidated.
docs/archive/2026-05-29-superpowers-spec-install-onboarding-ux.md,md,historical-metadata,2026-05-29,text-readable,,0904f53443933ea6b528a9275ac222be11e48a74e5388f056ddc83b966985ecb,0904f53443933ea6b528a9275ac222be11e48a74e5388f056ddc83b966985ecb,,0,retained-frozen,Date/status/source scope and relative links reviewed; historical behavior not revalidated.
docs/archive/2026-06-11-token-consumption-recurrence.md,md,historical-metadata,2026-06-11,text-readable,,d95de2b43908e3bee26d2363fccd8f1630104b5d2633b7e50882787eee95bec1,d95de2b43908e3bee26d2363fccd8f1630104b5d2633b7e50882787eee95bec1,,0,retained-frozen,Date/status/source scope and relative links reviewed; historical behavior not revalidated.
docs/archive/2026-06-token-consumption-incident.md,md,historical-metadata,2026-06,text-readable,,995957bf17c1e019fab6b5ca36e01d241678c505dc80c4377b6b59a9018eb43a,995957bf17c1e019fab6b5ca36e01d241678c505dc80c4377b6b59a9018eb43a,,0,retained-frozen,Date/status/source scope and relative links reviewed; historical behavior not revalidated.
docs/archive/2026-06-upstream-findings-f1-f6.md,md,historical-metadata,2026-06,text-readable,,4785eb209715b423ac63cbe4c3ca8b184eae31dd04f7dac3fc199e96852b0172,4785eb209715b423ac63cbe4c3ca8b184eae31dd04f7dac3fc199e96852b0172,,0,retained-frozen,Date/status/source scope and relative links reviewed; historical behavior not revalidated.
docs/archive/2026-07-14-shell-kit-background.md,md,historical-metadata,2026-07-14,text-readable,,07dc261fe8a3e1a7afb105455b79296ade7c20fe646530c0938ab76b1276d1c4,07dc261fe8a3e1a7afb105455b79296ade7c20fe646530c0938ab76b1276d1c4,,0,retained-frozen,Date/status/source scope and relative links reviewed; historical behavior not revalidated.
docs/archive/2026-07-14-shell-kit-conditional-blocks.md,md,historical-metadata,2026-07-14,text-readable,,fbb8208e44d709d0b53e4f20a325fd734dab7d6b596404d9a31673ef68674d69,fbb8208e44d709d0b53e4f20a325fd734dab7d6b596404d9a31673ef68674d69,,0,retained-frozen,Date/status/source scope and relative links reviewed; historical behavior not revalidated.
